Sample Number,Sampled Point Number,Latitude + Longitude,Heading,Date,Image Name,Road Types,Web Link
63,16,"13.7649465998,100.6806969",S,2011-12,0000000063_13.7649465998_100.6806969_S.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSLW11Y3FiYzNhakU
64,16,"13.7649465998,100.6806969",W,2011-12,0000000064_13.7649465998_100.6806969_W.jpg,"residential,residential,residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSZU1xZG9wSEFXdTA
65,17,"13.6581439997,100.6351661",N,2011-12,0000000065_13.6581439997_100.6351661_N.jpg,"residential,secondary",https://drive.google.com/uc?id=0B7dZI0Kce2cScmstQkFqYVJXenc
66,17,"13.6581439997,100.6351661",E,2011-12,0000000066_13.6581439997_100.6351661_E.jpg,"residential,secondary",https://drive.google.com/uc?id=0B7dZI0Kce2cSLURVMmFFTkRuTnc
67,17,"13.6581439997,100.6351661",S,2011-12,0000000067_13.6581439997_100.6351661_S.jpg,"residential,secondary",https://drive.google.com/uc?id=0B7dZI0Kce2cSbVFIZ2I1X3FDTG8
68,17,"13.6581439997,100.6351661",W,2011-12,0000000068_13.6581439997_100.6351661_W.jpg,"residential,secondary",https://drive.google.com/uc?id=0B7dZI0Kce2cSUmVjRm03ODBnNXc
69,18,"13.6637932007,100.516753683",N,2012-01,0000000069_13.6637932007_100.516753683_N.jpg,"secondary_link,secondary_link",https://drive.google.com/uc?id=0B7dZI0Kce2cSSFd6RDkzWWhiOUE
70,18,"13.6637932007,100.516753683",E,2012-01,0000000070_13.6637932007_100.516753683_E.jpg,"secondary_link,secondary_link",https://drive.google.com/uc?id=0B7dZI0Kce2cSdUhuTTFFVWRZa3M
71,18,"13.6637932007,100.516753683",S,2012-01,0000000071_13.6637932007_100.516753683_S.jpg,"secondary_link,secondary_link",https://drive.google.com/uc?id=0B7dZI0Kce2cScy1DUEZrTks4WjQ
72,18,"13.6637932007,100.516753683",W,2012-01,0000000072_13.6637932007_100.516753683_W.jpg,"secondary_link,secondary_link",https://drive.google.com/uc?id=0B7dZI0Kce2cSczc0TW5Odk9MQUk
73,19,"13.6655748984,100.400776597",N,2012-02,0000000073_13.6655748984_100.400776597_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSOVhMckVzVnVqbnM
74,19,"13.6655748984,100.400776597",E,2012-02,0000000074_13.6655748984_100.400776597_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSenpWbVlERzBXWkU
75,19,"13.6655748984,100.400776597",S,2012-02,0000000075_13.6655748984_100.400776597_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSRDk1TnY4a05kRjQ
76,19,"13.6655748984,100.400776597",W,2012-02,0000000076_13.6655748984_100.400776597_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSQnJhdG0xcXRrYjg
77,20,"13.7210775095,100.603954689",N,2011-10,0000000077_13.7210775095_100.603954689_N.jpg,"residential,motorway",https://drive.google.com/uc?id=0B7dZI0Kce2cSbzZnX296MjhlMnc
78,20,"13.7210775095,100.603954689",E,2011-10,0000000078_13.7210775095_100.603954689_E.jpg,"residential,motorway",https://drive.google.com/uc?id=0B7dZI0Kce2cSN0VlZ29uVjFiTDQ
79,20,"13.7210775095,100.603954689",S,2011-10,0000000079_13.7210775095_100.603954689_S.jpg,"residential,motorway",https://drive.google.com/uc?id=0B7dZI0Kce2cSa284RFB2cWJsalE
80,20,"13.7210775095,100.603954689",W,2011-10,0000000080_13.7210775095_100.603954689_W.jpg,"residential,motorway",https://drive.google.com/uc?id=0B7dZI0Kce2cSNUo3SjRqNl9SQnc
81,21,"13.8400436011,100.5181218",N,2012-03,0000000081_13.8400436011_100.5181218_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSV1E1LU44SDcyMFU
82,21,"13.8400436011,100.5181218",E,2012-03,0000000082_13.8400436011_100.5181218_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSVEVvVTZtT1RCdmc
83,21,"13.8400436011,100.5181218",S,2012-03,0000000083_13.8400436011_100.5181218_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSTzg5RXpOSXNGT0k
84,21,"13.8400436011,100.5181218",W,2012-03,0000000084_13.8400436011_100.5181218_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSMG5PUEFvdlNwMEU
85,22,"13.9312567,100.5961697",N,2012-02,0000000085_13.9312567_100.5961697_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSVmFseEU4cGxYT1k
86,22,"13.9312567,100.5961697",E,2012-02,0000000086_13.9312567_100.5961697_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSRTN5dDhUOEFlZDA
87,22,"13.9312567,100.5961697",S,2012-02,0000000087_13.9312567_100.5961697_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSTlNIQWlKaktTcUk
88,22,"13.9312567,100.5961697",W,2012-02,0000000088_13.9312567_100.5961697_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSNGZKOGNBOW1Jd00
89,23,"13.7186655998,100.519754799",N,2011-09,0000000089_13.7186655998_100.519754799_N.jpg,"primary,primary_link",https://drive.google.com/uc?id=0B7dZI0Kce2cSeGRicEFwSWpnYTg
90,23,"13.7186655998,100.519754799",E,2011-09,0000000090_13.7186655998_100.519754799_E.jpg,"primary,primary_link",https://drive.google.com/uc?id=0B7dZI0Kce2cSSFZLQnJvc0NYdEU
91,23,"13.7186655998,100.519754799",S,2011-09,0000000091_13.7186655998_100.519754799_S.jpg,"primary,primary_link",https://drive.google.com/uc?id=0B7dZI0Kce2cSRGxWQVI0THlwb3M
92,23,"13.7186655998,100.519754799",W,2011-09,0000000092_13.7186655998_100.519754799_W.jpg,"primary,primary_link",https://drive.google.com/uc?id=0B7dZI0Kce2cSOVVUU3J6cWVhQk0
93,24,"13.9877783997,100.6114633",N,2012-06,0000000093_13.9877783997_100.6114633_N.jpg,"residential,primary",https://drive.google.com/uc?id=0B7dZI0Kce2cSelpia2JWVjRpZkk
94,24,"13.9877783997,100.6114633",E,2012-06,0000000094_13.9877783997_100.6114633_E.jpg,"residential,primary",https://drive.google.com/uc?id=0B7dZI0Kce2cSeXBweXNpMHAwT3c
95,24,"13.9877783997,100.6114633",S,2012-06,0000000095_13.9877783997_100.6114633_S.jpg,"residential,primary",https://drive.google.com/uc?id=0B7dZI0Kce2cSdWx0d244WU0xNDQ
96,24,"13.9877783997,100.6114633",W,2012-06,0000000096_13.9877783997_100.6114633_W.jpg,"residential,primary",https://drive.google.com/uc?id=0B7dZI0Kce2cSTXVzV29yNEJvMlE
97,25,"13.8742409999,100.573559099",N,2012-01,0000000097_13.8742409999_100.573559099_N.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSOWwtcGhkeDlSaEU
98,25,"13.8742409999,100.573559099",E,2012-01,0000000098_13.8742409999_100.573559099_E.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSYzloMFNBYTNncDQ
99,25,"13.8742409999,100.573559099",S,2012-01,0000000099_13.8742409999_100.573559099_S.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cSSWIwdDFqRUdTX28
100,25,"13.8742409999,100.573559099",W,2012-01,0000000100_13.8742409999_100.573559099_W.jpg,"residential,residential",https://drive.google.com/uc?id=0B7dZI0Kce2cScWVKVGpxOGpCUnc
101,26,"13.7717546001,100.3882936",N,2012-02,0000000101_13.7717546001_100.3882936_N.jpg,"unclassified,living_street",https://drive.google.com/uc?id=0B7dZI0Kce2cSUlp0NU9lQ2I5aFk
102,26,"13.7717546001,100.3882936",E,2012-02,0000000102_13.7717546001_100.3882936_E.jpg,"unclassified,living_street",https://drive.google.com/uc?id=0B7dZI0Kce2cSVXBzYXpLdEZKMUE
103,26,"13.7717546001,100.3882936",S,2012-02,0000000103_13.7717546001_100.3882936_S.jpg,"unclassified,living_street",https://drive.google.com/uc?id=0B7dZI0Kce2cSZEZhMGdTSmFqZGs
